Index_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,State Type,Functional,Expression,Engineer,Table_Name,Spatial_Index,Spatial_Layer_Type,Geodetic_Index,Number_Of_Dimensions
"BasicUserTransactions_PK",685345DF-C7DF-1BF4-98EF-9BDC9DD9E526,197,,C6DD007D-4963-AA16-0A4C-1A11A505E668,149,Primary Constraint,,N,Y,"BasicUserTransactions",N,,,,
"Budgets_(for_premium_users)_PK",8D7A2557-BEB3-579D-8BBA-BAC73BF13A2C,198,,8107D623-C9C0-39A2-6ACE-58AAF7A96316,150,Primary Constraint,,N,Y,"Budgets_(for_premium_users)",N,,,,
"ExpenseCategories_(For_Premium_Users)_PK",041C6B32-15D6-13AB-F133-362FC5EE961A,199,,2377A240-78E0-EC57-8C3F-6A3292D0682D,151,Primary Constraint,,N,Y,"ExpenseCategories_(For_Premium_Users)",N,,,,
"Expenses_(For_Premium_Users)_PK",5272B875-3A0C-FD2E-7312-65E97F0406B2,200,,2AAB9569-423D-1D66-AD84-27A2305C61AA,152,Primary Constraint,,N,Y,"Expenses_(For_Premium_Users)",N,,,,
"IncomeCategories_(For_Premium_Users)_PK",430A2686-6CE3-CFB4-D464-271703E020D7,201,,9A6BC923-64FD-AD40-1246-0FF1FC3AD78A,153,Primary Constraint,,N,Y,"IncomeCategories_(For_Premium_Users)",N,,,,
"Incomes_(For_Premium_Users)_PK",A9339518-079F-0CF5-1553-1F21FDF3830E,202,,33D7FA58-130E-71FC-641D-B65834805AC6,154,Primary Constraint,,N,Y,"Incomes_(For_Premium_Users)",N,,,,
"Users_PK",65A32DE8-D95C-E896-BE48-3FC55EE76E13,203,,B336B49B-DAD4-4065-0A6D-0E176EB19CDE,155,Primary Constraint,,N,Y,"Users",N,,,,
"Budgets_(for_premium_users)_Users_FK",C8CE3BB9-8D76-3DDB-9B59-2F2A68DD6895,204,,8107D623-C9C0-39A2-6ACE-58AAF7A96316,150,Foreign Key,,N,Y,"Budgets_(for_premium_users)",N,,,,
"BasicUserTransactions_Users_FK",B9B6DED7-9BEF-7E55-7921-441C6D164143,205,,C6DD007D-4963-AA16-0A4C-1A11A505E668,149,Foreign Key,,N,Y,"BasicUserTransactions",N,,,,
"IncomeCategories_(For_Premium_Users)_Users_FK",1931EE87-A48D-4A34-18CE-D33B8A36CE11,206,,9A6BC923-64FD-AD40-1246-0FF1FC3AD78A,153,Foreign Key,,N,Y,"IncomeCategories_(For_Premium_Users)",N,,,,
"ExpenseCategories_(For_Premium_Users)_Users_FK",B3D05289-F66A-7FFF-FBC4-C1A5FFE5AE91,207,,2377A240-78E0-EC57-8C3F-6A3292D0682D,151,Foreign Key,,N,Y,"ExpenseCategories_(For_Premium_Users)",N,,,,
"Incomes_(For_Premium_Users)_Budgets_(for_premium_users)_FK",FA709CFE-9CD8-A140-407B-5CD5096D3A67,208,,33D7FA58-130E-71FC-641D-B65834805AC6,154,Foreign Key,,N,Y,"Incomes_(For_Premium_Users)",N,,,,
"Incomes_(For_Premium_Users)_IncomeCategories_(For_Premium_Users)_FK",A3B4719F-1F5C-9CD3-6CBC-E11303750602,209,,33D7FA58-130E-71FC-641D-B65834805AC6,154,Foreign Key,,N,Y,"Incomes_(For_Premium_Users)",N,,,,
"Expenses_(For_Premium_Users)_Budgets_(for_premium_users)_FK",1FB39CB0-C4F3-93E0-04DC-24E2E76F2B71,210,,2AAB9569-423D-1D66-AD84-27A2305C61AA,152,Foreign Key,,N,Y,"Expenses_(For_Premium_Users)",N,,,,
"Expenses_(For_Premium_Users)_ExpenseCategories_(For_Premium_Users)_FK",A9AAF63C-ADB8-2505-0ECE-0728F1633F3B,211,,2AAB9569-423D-1D66-AD84-27A2305C61AA,152,Foreign Key,,N,Y,"Expenses_(For_Premium_Users)",N,,,,
